Make,Model,Price,Year,Kilometer,Number of Owners,Engine (CC),Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Maruti Suzuki,Vitara Brezza VDi,725000,2018,42000,1,1248,3995,1790,1640,5,48
BMW,X3 xDrive20d,1090000,2012,65000,2,1995,4648,1881,1661,5,67
Honda,WR-V VX MT Petrol,900000,2019,17000,1,1199,3999,1734,1601,5,40
BMW,5-Series 520d Luxury Line [2017-2019],3400000,2016,38000,2,1995,4936,1868,1479,5,65
Honda,Amaze 1.5 S i-DTEC,295000,2014,62500,1,1498,3990,1680,1505,5,35
Tata,Harrier XZA Plus Dual Tone,2251000,2021,30229,1,1956,4598,1894,1706,5,50
Porsche,911 Carrera 4,9300000,2019,9000,1,3436,4491,1852,1304,4,68
Maruti Suzuki,Wagon R LXI CNG (O),430000,2016,26600,1,998 ,3599,1495,1700,5,35
Maruti Suzuki,Ciaz Delta 1.3 Hybrid,600000,2017,86000,2,1248,4490,1730,1485,5,43
Hyundai,Tucson GL 2WD AT Petrol,1595000,2017,86000,1,1999,4475,1850,1660,5,62
Hyundai,i20 Sportz 1.2,375000,2013,29135,1,1197,3995,1710,1505,5,45
Volvo,V40 D3 Kinetic,1200000,2015,50965,1,1984,4370,1783,1458,5,60
Toyota,Fortuner 3.0 4x2 AT,1525000,2014,72000,1,2982,4705,1840,1850,7,80
Mercedes-Benz,C-Class C 200 Avantgarde,2675000,2016,28000,1,1991,4686,1810,1442,5,66
Honda,Jazz V AT Petrol,545000,2015,42000,1,1199,3955,1694,1544,5,40
Mercedes-Benz,S-Class S 350D [2018-2020],7900000,2017,11850,1,2925,5246,1899,1494,5,70
Honda,Jazz S,195000,2010,32000,1,1198,3900,1695,1535,5,42
BMW,3-Series 320d Luxury Edition,4550000,2021,24000,1,1995,4709,1827,1435,5,59
Land Rover,Evoque HSE Dynamic,2499000,2015,50623,2,2179,4465,1900,1635,5,57
Mahindra,Xylo D2 BS-IV,210000,2012,85000,4,2489,4520,1850,1895,7,55
Hyundai,Venue SX 1.5 CRDi,1097000,2022,1700,1,1493,3995,1770,1605,5,45
Volkswagen,Polo GT TSI,1095000,2020,43260,1,1197,3971,1682,1469,5,45
Maruti Suzuki,Wagon R LXI CNG,325000,2015,67738,2,998 ,3599,1495,1700,5,35
Mahindra,Scorpio S11 4WD 7 STR,1375000,2019,69000,1,2179,4456,1820,1995,7,60
Maruti Suzuki,Swift VXi,745000,2021,14722,1,1197,3845,1735,1530,5,37
Toyota,Innova 2.4 VX 7 STR [2016-2020],2175000,2017,29000,1,2393,4735,1830,1795,7,55
Jeep,Compass Limited (O) 1.4 Petrol AT [2017-2020],1250000,2017,60200,1,1368,4395,1818,1640,5,60
Maruti Suzuki,Swift VDi,500000,2017,140000,1,1248,3850,1695,1530,5,42
Honda,WR-V S MT Petrol,625000,2017,23798,1,1199,3999,1734,1601,5,40
Honda,City 1.5 S MT,250000,2011,55000,1,1497,4420,1695,1480,5,42
Volkswagen,Vento TSI,650000,2017,51000,1,1197,4384,1699,1466,5,55
Honda,Brio S MT,310000,2014,49000,2,1198,3610,1680,1500,5,35
Renault,Duster RXL Petrol,600000,2017,48000,1,1498,4315,1822,1695,5,50
Ford,Fiesta Style Diesel [2011-2014],295000,2013,74000,1,1498,4291,1722,1496,5,43
Mahindra,XUV500 W8,484999,2012,102000,2,2179,4585,1890,1785,7,70
BMW,5-Series 530i Sport Line,4250000,2018,32000,1,1998,4936,1868,1479,5,57
Tata,Safari 2.2 EX 4x2,375000,2013,97000,1,2179,4655,1965,1922,7,55
Kia,Seltos GTX Plus AT 1.4 [2019-2020],1625000,2021,16000,1,1353,4315,1800,1645,5,50
Porsche,Cayenne Platinum Edition Diesel,5350000,2016,55700,1,2967,4855,1939,1705,5,85
BMW,X5 xDrive30d xLine,4250000,2017,80000,1,2993,4922,2004,1745,5,80
Ford,Ecosport Trend 1.5 TDCi,480000,2014,115000,1,1498,3999,1765,1708,5,52
Hyundai,Grand i10 NIOS Magna 1.2 Kappa VTVT,590000,2020,74000,1,1197,3805,1680,1520,5,37
Hyundai,Elite i20 Sportz 1.4,561000,2015,61000,1,1396,3985,1734,1505,5,45
Toyota,Corolla Altis 1.8 G,725000,2014,104814,1,1798,4540,1760,1480,5,55
Hyundai,Elantra 1.8 SX MT,645000,2013,17000,1,1797,4530,1775,1470,5,56
Audi,Q3 35 TDI Premium + Sunroof,1695000,2015,60000,2,1968,4385,1831,1608,5,64
Maruti Suzuki,Swift Lxi (O) [2014-2017],450000,2016,45000,1,1197,3850,1695,1530,5,42
Mahindra,XUV500 W10,1375000,2016,75811,1,2179,4585,1890,1785,7,70
Mahindra,Thar AX 4-STR Convertible Petrol MT,1700000,2021,3813,1,1997,3985,1820,1855,4,57
Maruti Suzuki,Swift VXi [2014-2017],525000,2016,64928,1,1197,3850,1695,1530,5,42
Maruti Suzuki,DZire VDi,590000,2018,68500,1,1248,3995,1735,1515,5,37
Toyota,Fortuner 3.0 4x2 AT,1495000,2014,85000,1,2982,4705,1840,1850,7,80
BMW,5-Series 520d M Sport,3300000,2017,41296,1,1995,4899,2094,1464,5,65
Honda,Amaze 1.5 SX i-DTEC,385000,2013,72567,1,1498,3990,1680,1505,5,35
Maruti Suzuki,Wagon R VXI+,535000,2020,4295,1,998 ,3636,1475,1670,5,35
Maruti Suzuki,Vitara Brezza ZDi Plus,875000,2018,82000,1,1248,3995,1790,1640,5,48
Maruti Suzuki,Swift DZire LXi,295000,2010,33000,1,1298,4160,1690,1530,5,43
Fiat,Linea Emotion 1.4,235000,2011,54000,1,1368,4560,1730,1487,5,45
Hyundai,Creta SX 1.6 CRDi (O),969999,2018,68000,1,1582,4270,1780,1665,5,55
Hyundai,Tucson GLS 2WD AT Petrol,1789999,2018,46000,1,1999,4475,1850,1660,5,62
Toyota,Innova 2.7 VX 7 STR [2016-2020],1964999,2020,26000,1,2694,4735,1830,1795,7,65
Audi,TT 2.0 TFSI Quattro,4000000,2014,39394,2,1984,4198,1842,1353,2,60
Tata,Tiago Revotron XTA [2017-2019],484999,2018,35000,1,1199,3746,1647,1535,5,35
Maruti Suzuki,Swift VXi [2014-2017],580000,2019,17881,1,1197,3850,1695,1530,5,42
Honda,City E [2013-2016],450000,2014,48409,2,1497,4440,1695,1495,5,40
Maruti Suzuki,Alto 800 Vxi (Airbag),355000,2020,40000,1,796 ,3395,1490,1475,5,35
Audi,Q3 35 TDI Premium + Sunroof,2375000,2017,61643,1,1968,4385,1831,1608,5,64
Mercedes-Benz,C-Class Cabriolet C 300,6500000,2020,21000,2,1991,4686,1810,1409,4,59
Tata,Nexon XZ Plus Dark Edition,1050000,2022,1500,1,1199,3993,1811,1606,5,44
Ford,Ecosport Ambiente 1.5L TDCi,445000,2014,38985,1,1498,3998,1765,1647,5,52
Honda,Jazz SV Petrol,495000,2015,52000,1,1199,3955,1694,1544,5,40
Hyundai,i10 Sportz 1.2 Kappa2,275000,2011,42000,1,1197,3585,1595,1550,5,35
Honda,Amaze 1.2 VX AT i-VTEC,465000,2014,29442,1,1198,3990,1680,1505,5,35
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],1050000,2017,71800,1,1956,4395,1818,1640,5,60
Mercedes-Benz,C-Class C 200 Progressive [2018-2020],4900000,2022,5000,1,1497,4686,1810,1442,5,66
Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,695000,2020,18000,1,1197,3805,1680,1520,5,60
Toyota,Fortuner 2.8 4x2 AT [2016-2020],3210000,2018,37000,1,2755,4795,1855,1835,7,80
Honda,City 1.5 S MT,269000,2009,85000,2,1497,4420,1695,1480,5,42
Hyundai,Xcent E Plus CRDi,445000,2018,65555,2,1186,3995,1660,1520,5,43
Land Rover,Evoque SE R-Dynamic,5950000,2021,35000,1,1999,4371,1996,1649,5,66.5
BMW,X3 xDrive 20d Luxury Line [2018-2020],3800000,2018,87000,1,1995,4657,1881,1678,5,67
Hyundai,Creta 1.6 SX Plus AT Petrol,1000000,2018,42000,1,1591,4270,1780,1630,5,60
Mahindra,Scorpio S11 4WD 7 STR,1490000,2018,68000,2,2179,4456,1820,1995,7,60
MG,Astor Sharp EX 1.5 MT,1550000,2022,600,1,1498,4323,1809,1650,5,48
Tata,Grande GX,199000,2011,192326,3,2179,4421,1780,1940,7,65
Toyota,Etios Liva VD Dual Tone,484999,2017,86006,1,1364,3884,1695,1510,5,45
Honda,City SV Diesel,425000,2014,75000,1,1498,4440,1695,1495,5,40
Mahindra,Scorpio S10,1150000,2014,99000,1,2179,4456,1820,1995,8,60
Skoda,Superb L&K TSI AT,3195000,2021,21651,1,1798,4861,1864,1483,5,66
Hyundai,i20 Active 1.4 SX,725000,2016,84000,1,1396,3995,1760,1555,5,45
Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,2,2997,4804,2141,1796,5,70
Maruti Suzuki,Ciaz Zeta 1.4 AT,741000,2017,31000,1,1373,4490,1730,1485,5,43
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],7350000,2022,17000,1,1950,5063,1860,1494,5,80
Mahindra,Thar AX 6-STR Soft Top Diesel MT,1550000,2020,28000,1,2184,3985,1820,1920,6,57
Honda,City S Diesel,645000,2015,64000,1,1498,4440,1695,1495,5,40
Honda,City SV Diesel,550000,2014,85000,1,1498,4440,1695,1495,5,40
Maruti Suzuki,Baleno Alpha 1.2 AT,595000,2017,35000,3,1197,3995,1745,1500,5,37
Volvo,V40 Cross Country D3,1595000,2015,44000,1,1984,4370,1783,1458,5,60
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],500000,2017,32000,2,998 ,3715,1635,1565,5,35
Maruti Suzuki,Wagon R LXI ABS,345000,2016,49857,1,998 ,3599,1495,1700,5,35
Maruti Suzuki,Wagon R VXI+,299000,2013,46000,1,998 ,3636,1475,1670,5,35
Maruti Suzuki,Wagon R LXi Minor,160000,2008,50000,2,1061,3520,1475,1690,5,35
Maruti Suzuki,Baleno Delta 1.2 AT,570000,2017,36000,1,1197,3995,1745,1500,5,37
Renault,Kiger RXT Turbo CVT,800000,2021,13000,1,999 ,3991,1750,1605,5,40
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],315000,2013,45000,1,998 ,3515,1500,1510,5,32
Maruti Suzuki,Alto LXi BS-III,227000,2011,87513,2,796 ,3495,1475,1460,5,35
Mercedes-Benz,S-Class 350 L,1850000,2011,26000,1,3498,5226,2120,1479,5,90
Maruti Suzuki,S-Presso VXi CNG,610000,2022,3800,1,998 ,3565,1520,1564,4,55
Toyota,Innova 2.4 VX 8 STR [2016-2020],1995000,2018,35123,1,2393,4735,1830,1795,8,55
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],1875000,2021,21000,1,1493,4315,1800,1645,5,50
Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],1748999,2022,2670,1,1497,4300,1790,1635,5,50
Skoda,Rapid Ambition 1.6 TDI CR MT,640000,2016,124000,1,1598,4386,1699,1466,5,55
Hyundai,Elite i20 Asta 1.2 (O) [2016],779000,2016,9889,1,1197,3985,1734,1505,5,45
Honda,City ZX CVT Petrol,1450000,2021,13000,1,1497,4440,1695,1495,5,40
Tata,Nexon XZA Plus Petrol,890000,2018,35000,1,1198,3994,1811,1607,5,44
Maruti Suzuki,Baleno Zeta 1.2,625000,2017,51145,1,1197,3995,1745,1500,5,37
Mercedes-Benz,GLS 350 d,8500000,2019,13000,1,2987,5130,1934,1850,7,100
Audi,RS5 4.2 Coupe,2900000,2011,56000,3,4163,4649,1860,1366,5,64
Mercedes-Benz,GLC 220 d Progressive,4550000,2018,45000,1,2143,4656,1890,1639,5,66
Skoda,Superb L&K TDI AT,2500000,2017,82900,1,1968,4861,1864,1483,5,66
Maruti Suzuki,Alto 800 Lxi CNG,249000,2014,56843,2,796 ,3395,1490,1475,5,35
Ford,Figo Duratec Petrol Titanium 1.2,270000,2015,64000,1,1196,3795,1680,1427,5,45
Maruti Suzuki,DZire VXi AMT,825000,2019,9644,1,1197,3995,1735,1515,5,37
Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],425000,2017,41624,2,998 ,3695,1600,1560,5,35
Hyundai,Grand i10 Sportz U2 1.2 CRDi,459999,2016,82844,1,1186,3765,1660,1520,5,43
Mercedes-Benz,E-Class E250 Elegance,980000,2011,78000,2,2497,4868,1854,1471,5,80
Renault,Duster RXL Petrol,789000,2017,60444,1,1498,4315,1822,1695,5,50
BMW,3-Series 330i M Sport Edition,5100000,2022,6000,1,1998,4633,1811,1429,5,57
Mahindra,Scorpio S10,775000,2014,125000,1,2179,4456,1820,1995,8,60
Hyundai,Creta 1.6 SX Plus AT Petrol,1400000,2019,13000,1,1591,4270,1780,1630,5,60
Maruti Suzuki,Ertiga VDi,770000,2015,112000,1,1248,4265,1695,1685,7,45
Maruti Suzuki,Ritz Vdi BS-IV,445000,2012,54948,1,1248,3715,1680,1620,5,43
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],450000,2016,53300,1,1197,3765,1660,1520,5,43
Honda,City SV,840000,2019,34000,1,1497,4440,1695,1495,5,40
Mercedes-Benz,S-Class Maybach S 560,18500000,2021,21000,1,3982,5462,1899,1498,4,70
Land Rover,Evoque HSE Dynamic,4000000,2017,25500,2,1999,4360,2120,1635,5,57
Mahindra,XUV500 W8 1.99 [2016-2017],690000,2015,157662,2,1997,4585,1890,1785,7,70
Mercedes-Benz,CLA 200 D Urban Sport,2800000,2018,20000,1,2143,4630,1777,1432,5,56
Hyundai,Xcent SX 1.1 CRDi,525000,2018,78900,1,1120,3995,1660,1520,5,43
Maruti Suzuki,Wagon R LXi CNG,285000,2011,52000,1,998 ,3539,1475,1700,5,35
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],7780000,2022,11000,1,1950,5063,1860,1494,5,80
Tata,Hexa XTA 4x2 7 STR,1200000,2017,95785,1,2179,4788,1903,1791,7,60
Ford,Ecosport Titanium 1.5L TDCi,620000,2017,92000,1,1498,3998,1765,1647,5,52
Jaguar,F-Pace Prestige,5200000,2019,43000,1,1999,4731,2071,1651,5,82
Mercedes-Benz,CLA 200 CDI Sport,1998999,2017,39328,1,2143,4630,1777,1432,5,56
Toyota,Innova 2.4 ZX AT 7 STR,2725000,2020,18625,1,2393,4735,1830,1795,7,55
Maruti Suzuki,Swift VXi [2014-2017],590000,2019,26000,1,1197,3850,1695,1530,5,42
MINI,Countryman Cooper D,1489000,2014,81000,2,1995,4097,1789,1561,5,47
Maruti Suzuki,DZire ZDi Plus AMT,685000,2018,92000,1,1248,3995,1735,1515,5,37
Mahindra,Scorpio S3 2WD 7 STR,1121000,2019,38000,1,2523,4456,1820,1930,7,60
Tata,Manza Aqua Safire BS-IV,114999,2012,93000,2,1368,4413,1703,1550,5,44
Maruti Suzuki,Wagon R VXI,545000,2019,10340,1,998 ,3599,1495,1700,5,35
Audi,Q3 2.0 TDI quattro Premium,1350000,2015,47706,1,1968,4385,1831,1608,5,64
Maruti Suzuki,XL6 Alpha MT Petrol,1299000,2021,13400,1,1462,4445,1775,1700,6,45
Ford,Aspire Titanium1.5 TDCi,450000,2016,44613,1,1498,3995,1695,1525,5,40
Porsche,718 Cayman [2017-2020],9000000,2017,7000,1,1988,4379,1801,1295,2,54
Maruti Suzuki,Swift VXi [2014-2017],550000,2019,29000,1,1197,3850,1695,1530,5,42
BMW,3-Series 320d Luxury Line,4390000,2020,23000,1,1995,4633,1811,1429,5,57
Maruti Suzuki,Wagon R LXI CNG (O),445000,2015,67580,1,998 ,3599,1495,1700,5,35
Hyundai,Verna 1.6 VTVT S,495000,2015,42000,1,1591,4375,1700,1475,5,43
Hyundai,Eon 1.0 Kappa Magna AirBag,360000,2015,16205,1,998 ,3515,1550,1510,5,32
Maruti Suzuki,Grand Vitara 2015 2.0 AT,345000,2007,92000,3,1995,4470,1810,1695,5,66
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],565000,2016,29000,1,1197,3765,1660,1520,5,43
Mercedes-Benz,GLE 300d 4MATIC LWB,9390000,2022,14000,1,1950,4924,2157,1772,5,93
Mahindra,TUV300 T8 AMT mHAWK100,615000,2017,69000,1,1493,3995,1835,1839,7,60
Honda,City V Diesel,525000,2015,114635,1,1498,4440,1695,1495,5,40
BMW,X1 sDrive20d xLine,2650000,2018,50000,2,1995,4454,2044,1545,5,63
BMW,X1 sDrive20d xLine,3785000,2019,29221,1,1995,4454,2044,1545,5,63
Audi,A6 2.0 TDI Premium,1175000,2012,77000,2,1968,4915,1874,1455,5,65
BMW,3-Series 320d Sport Line,1450000,2013,70000,2,1995,4624,2031,1429,5,60
Honda,City VX CVT Petrol,1390000,2022,32000,1,1498,4549,1748,1489,5,40
Ferrari,488 GTB,35000000,2018,9500,1,3902,4568,1952,1213,2,78
Volkswagen,Tiguan Highline TDI,2990000,2020,17904,1,1968,4486,1839,1672,5,71
Land Rover,Evoque Pure SD4,2150000,2012,95000,1,2179,4355,2120,1635,5,57
Maruti Suzuki,Wagon R LXi CNG,315000,2013,72000,1,998 ,3539,1475,1700,5,35
Mercedes-Benz,GLE 43 4MATIC [2017-2019],8500000,2018,25275,1,2996,4891,2003,1719,5,93
Maruti Suzuki,Wagon R LXI CNG,400000,2016,67850,1,998 ,3599,1495,1700,5,35
Tata,Nano Base,49000,2010,60000,1,624 ,3099,1495,1652,4,15
Maruti Suzuki,Swift VDi,610000,2017,105000,1,1248,3850,1695,1530,5,42
Hyundai,Creta SX 1.6 AT Petrol,1075000,2019,45000,1,1591,4270,1780,1665,5,55
Mercedes-Benz,E-Class E 220 d Avantgarde,7500000,2021,8000,1,1950,5063,1860,1494,5,80
Toyota,Corolla Altis G AT Petrol,1321000,2018,38000,1,1798,4620,1775,1475,5,55
Maruti Suzuki,S-Cross Zeta 1.3,950000,2020,55055,1,1248,4300,1785,1595,5,48
Maruti Suzuki,Baleno Zeta 1.2,825000,2021,22000,1,1197,3995,1745,1500,5,37
Mitsubishi,Pajero 2.5 MT,1300000,2013,95000,2,2477,4695,1815,1840,7,70
Maruti Suzuki,Swift ZXi,465000,2014,25704,1,1197,3850,1695,1530,5,42
Maruti Suzuki,Swift DZire VDI,475000,2016,55353,2,1248,3995,1695,1555,5,42
Audi,Q3 35 TDI Premium,1775000,2015,80000,1,1968,4385,1831,1608,5,64
Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,825000,2018,62000,1,1197,4390,1699,1467,5,55
Ford,Endeavour Titanium 3.2 4x4 AT,3450000,2019,41526,1,3198,4892,1860,1837,7,80
Tata,Tiago Revotron XT [2016-2019],379000,2018,29434,2,1047,3746,1647,1535,5,35
Datsun,Go D,240000,2017,42000,1,1198,3785,1635,1485,5,35
Kia,Seltos HTK Plus 1.5 [2019-2020],1525000,2021,14000,1,1497,4315,1800,1645,5,50
BMW,3-Series 320d Sport Line,1400000,2014,35000,1,1995,4624,2031,1429,5,60
Mercedes-Benz,GLA 200 d Sport,2450000,2018,61000,2,2143,4424,1804,1494,5,50
Mercedes-Benz,GLA 200 CDI Sport,1789999,2015,45000,1,2143,4417,1804,1494,5,50
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],4275000,2019,31000,1,1950,4686,1810,1442,5,66
Hyundai,Elite i20 Sportz 1.2 MT,775000,2020,39000,1,1197,3995,1775,1505,5,37
Maruti Suzuki,Estilo VXi BS-IV,229999,2012,52000,1,998 ,3600,1495,1595,5,35
Maruti Suzuki,Wagon R LXi CNG,280000,2011,54000,1,998 ,3539,1475,1700,5,35
Hyundai,Eon Era +,300000,2018,51000,1,814 ,3495,1550,1500,5,32
Maruti Suzuki,Alto VXi (O) [2014-2019],160000,2011,72000,1,998 ,3545,1490,1475,5,35
Maruti Suzuki,Alto LXi BS-III,150000,2011,65000,1,796 ,3495,1475,1460,5,35
Mercedes-Benz,GLE 300d 4MATIC LWB,8300000,2020,50000,1,1950,4924,2157,1772,5,93
Audi,Q3 35 TDI Premium + Sunroof,1685000,2016,80251,2,1968,4385,1831,1608,5,64
Hyundai,i10 Sportz 1.2,270000,2010,86000,2,1197,3565,1595,1550,5,35
Maruti Suzuki,Alto 800 Lxi,210000,2014,42505,1,796 ,3395,1490,1475,5,35
Hyundai,Elite i20 Asta 1.2,625000,2017,42000,1,1197,3985,1734,1505,5,45
BMW,7-Series 730Ld M Sport,6900000,2017,42200,1,2993,5219,1902,1481,4,78
Kia,Seltos GTX Plus AT 1.4 [2019-2020],1490000,2019,57600,1,1353,4315,1800,1645,5,50
Mahindra,XUV500 W7 [2018-2020],1095000,2018,57000,1,2179,4585,1890,1785,7,70
Ford,Endeavour 3.0L 4x4 AT,850000,2014,85000,1,2953,5060,1788,1826,7,71
Hyundai,Tucson 2WD AT GLS Diesel,1600000,2016,128000,2,1995,4475,1850,1660,5,62
Toyota,Etios V,265000,2011,66000,1,1496,4265,1695,1510,5,45
Volkswagen,Vento Comfortline Petrol,360000,2013,58000,1,1598,4384,1699,1466,5,55
Maruti Suzuki,Ritz Vdi BS-IV,350000,2012,89445,1,1248,3715,1680,1620,5,43
Toyota,Fortuner 3.0 4x2 MT,1485000,2015,64120,2,2982,4705,1840,1850,7,80
Maruti Suzuki,Ciaz Alpha 1.4 MT,800000,2017,82300,1,1373,4490,1730,1485,5,43
Maruti Suzuki,Vitara Brezza VDi,710000,2017,73000,1,1248,3995,1790,1640,5,48
Maruti Suzuki,S-Cross Alpha 1.6,710000,2018,72000,1,1598,4300,1765,1590,5,48
Volkswagen,Polo Highline1.0L (P),720000,2018,50197,1,999 ,3971,1682,1469,5,45
Honda,Amaze 1.2 S i-VTEC,395000,2014,44527,1,1198,3990,1680,1505,5,35
Audi,A4 35 TDI Technology,2799000,2017,72400,1,1968,4726,1842,1427,5,54
Ford,Ecosport Trend 1.5 Ti-VCT,455000,2014,50000,2,1499,3999,1765,1708,5,52
Honda,City VX (O) MT,690000,2014,37000,1,1497,4440,1695,1495,5,40
Mercedes-Benz,GLS 400d 4MATIC,13000000,2021,20000,1,2925,5207,2157,1823,7,90
Tata,Harrier XZA Plus Dark Edition,1995000,2020,8000,1,1956,4598,1894,1706,5,50
BMW,5-Series 520d Luxury Line,1750000,2014,69000,2,1995,4899,2094,1464,5,65
BMW,X1 sDrive20d xLine,2900000,2019,25000,1,1995,4454,2044,1545,5,63
BMW,X1 sDrive20d xLine,4500000,2022,17000,1,1995,4454,2044,1545,5,63
Honda,City 1.5 S MT,450000,2013,61000,1,1497,4440,1695,1485,5,42
BMW,5-Series 520d Luxury Line [2017-2019],2149000,2015,69000,1,1995,4936,1868,1479,5,65
Mercedes-Benz,GL-Class 350 CDI,4200000,2015,77000,2,2987,5120,1934,1850,7,100
Tata,Nexon XT Diesel [2017-2019],860000,2018,82200,1,1497,3994,1811,1607,5,44
Honda,City V,875000,2018,28000,1,1497,4440,1695,1495,5,40
Mahindra,Scorpio VLX 4WD BS-III,580000,2011,117000,2,2179,4430,1817,1975,7,60
MG,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,3500000,2021,7900,1,1996,4985,1926,1867,6,75
Maruti Suzuki,Swift DZire VXi,229999,2010,72000,1,1298,4160,1690,1530,5,43
Audi,Q3 2.0 TDI quattro Premium Plus,1513000,2015,79000,2,1968,4385,1831,1608,5,64
Maruti Suzuki,Alto VXi,234000,2013,72600,1,998 ,3620,1475,1460,5,35
Datsun,Redigo S 1.0 AMT [2018-2019],320000,2018,42313,2,999 ,3429,1560,1541,5,28
BMW,X3 xDrive 20d Luxury Line [2018-2020],5975000,2021,18000,1,1995,4657,1881,1678,5,67
Maruti Suzuki,Vitara Brezza ZDi Plus,1025000,2019,90000,1,1248,3995,1790,1640,5,48
Maruti Suzuki,Alto LXi BS-III,169000,2010,18500,1,796 ,3495,1475,1460,5,35
Maruti Suzuki,DZire VDi,630000,2017,36000,1,1248,3995,1735,1515,5,37
Hyundai,Venue SX Plus 1.0 Turbo DCT,1090000,2020,26200,1,998 ,3995,1770,1605,5,45
Maruti Suzuki,Swift LXi Special Edition,700000,2019,11000,2,1197,3840,1735,1530,5,37
Maruti Suzuki,Swift VXi,661000,2021,14366,1,1197,3845,1735,1530,5,37
Tata,Grande GX,250999,2011,98000,1,2179,4421,1780,1940,7,65
Mahindra,TUV300 T8,565000,2017,65000,2,1493,3995,1835,1839,7,60
Toyota,Innova 2.5 G 7 STR BS-IV,750000,2014,126000,1,2494,4585,1760,1760,7,55
Audi,Q3 35 TDI Premium + Sunroof,1850000,2015,71700,2,1968,4385,1831,1608,5,64
Mahindra,XUV500 W6,850000,2016,114000,1,2179,4585,1890,1785,7,70
Hyundai,Elite i20 Asta 1.4 CRDI [2016-2017],535000,2016,58339,1,1396,3985,1734,1505,5,45
Maruti Suzuki,DZire VDi AMT,770000,2019,72040,1,1248,3995,1735,1515,5,37
BMW,3-Series 330i M Sport Edition,3650000,2019,6000,1,1998,4633,1811,1429,5,57
Kia,Sonet GTX Plus 1.0 iMT [2020-2021],1195000,2022,6200,1,998 ,3995,1790,1647,5,45
Mercedes-Benz,S-Class 500L,1650000,2012,44000,3,5461,5226,2120,1479,5,90
Skoda,Superb L&K TSI AT,3199000,2021,6900,1,1798,4861,1864,1483,5,66
Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],7100000,2022,2500,1,1991,5063,1860,1494,5,80
Volkswagen,Polo GT TSI,625000,2016,68000,1,1197,3971,1682,1469,5,45
Maruti Suzuki,Vitara Brezza VDi,745000,2018,36000,1,1248,3995,1790,1640,5,48
Hyundai,Santro Sportz,551000,2021,19000,1,1086,3610,1645,1560,5,35
Mercedes-Benz,E-Class E 220 d Avantgarde,5950000,2019,10000,1,1950,5063,1860,1494,5,80
Land Rover,Range Rover 3.0 V6 Diesel Vogue,22000000,2019,35000,1,2993,4999,2220,1835,5,105
MINI,Cooper D 3 Door,3300000,2019,6400,1,1496,3821,1727,1414,5,44
Ford,Endeavour Titanium Plus 3.2 4x4 AT,3250000,2019,34000,1,3198,4903,1869,1837,7,80
Renault,Duster 110 PS RXZ 4X2 AMT Diesel,690000,2016,35000,2,1461,4315,1822,1695,5,50
Maruti Suzuki,Vitara Brezza VDi AGS,894999,2019,46000,1,1248,3995,1790,1640,5,48
Skoda,Rapid Ambition 1.6 TDI CR MT,550000,2016,83000,1,1598,4386,1699,1466,5,55
Ford,Ecosport Trend 1.5 TDCi,399000,2013,54000,3,1498,3999,1765,1708,5,52
Kia,Seltos HTX 1.5 [2020-2021],1275000,2020,42000,1,1497,4315,1800,1645,5,50
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR [2019-2020],535000,2020,41441,1,1196,3675,1475,1800,5,40
Maruti Suzuki,Vitara Brezza VDi,825000,2018,48174,1,1248,3995,1790,1640,5,48
Ford,Ecosport Ambiente 1.5L TDCi,585000,2016,62591,1,1498,3998,1765,1647,5,52
Honda,Jazz V AT Petrol,675000,2017,48650,1,1199,3955,1694,1544,5,40
Maruti Suzuki,S-Cross Alpha 1.3,795000,2017,52245,1,1248,4300,1785,1595,5,48
Mercedes-Benz,E-Class E 200 Exclusive [2019-2019],6500000,2021,7500,1,1991,5063,1860,1494,5,80
Hyundai,Elite i20 Sportz 1.4 CRDI,611000,2017,65000,1,1396,3985,1734,1505,5,45
Maruti Suzuki,Wagon R VXI,390000,2015,43297,1,998 ,3599,1495,1700,5,35
Maruti Suzuki,Swift VXi [2014-2017],650000,2019,44710,1,1197,3850,1695,1530,5,42
Renault,Fluence 1.5 E4,390000,2013,62000,1,1461,4618,1813,1488,5,67
Audi,A4 35 TDI Technology,2400000,2017,59267,1,1968,4726,1842,1427,5,54
Maruti Suzuki,Swift VXi,385000,2011,69000,1,1197,3850,1695,1530,5,42
